Бренд,AVERAGE из Стоимость (INR)
AccessHer,"979,00"
Alcis,"749,00"
ANNA SUI,"4 600,00"
Being Human,"1 079,00"
Difference of Opinion,"499,00"
DKNY,"14 552,50"
EthnoVogue,"5 810,00"
Gini and Jony,"1 159,00"
her by invictus,"1 044,00"
HIGHLANDER,"699,00"
Homesake,"1 620,00"
ID,"2 008,67"
JEWEL JUNCTION,"539,00"
Kenneth Cole,"2 463,00"
Lara Karen,"1 999,00"
Michael Kors,"6 097,50"
PARFAIT,"1 749,00"
Parx,"724,43"
Police,"2 695,00"
Raymond,"3 339,00"
SEJ by Nisha Gupta,"899,00"
Sera,"1 437,00"
SHOWOFF,"791,00"
Soie,"750,00"
SPYKAR,"1 022,00"
Story@home,"1 199,00"
Tokyo Talkies,"499,00"
Vishudh,"892,00"
YAK YAK,"599,00"
Итого,"2 118,14"
